value,corpora,blended_skill_talk/f1,empathetic_dialogues/f1,wizard_of_internet/f1,wizard_of_wikipedia/f1,model
0.12962836027145386,TDEC,0.14106401801109314,0.10496121644973755,0.14159370958805084,0.1308944970369339,350M
0.12546022795140743,TDEC,0.12796421349048615,0.1073385700583458,0.13609153032302856,0.13044659793376923,350M
0.12187832035124302,TDEC,0.12042608112096786,0.11125537008047104,0.1354627162218094,0.12036911398172379,350M
0.12374401465058327,TDEC,0.1251928061246872,0.10143767297267914,0.14223916828632355,0.1261064112186432,350M
0.12389909848570824,TDEC,0.11824440956115723,0.1030508279800415,0.1426830142736435,0.13161814212799072,350M
0.12251049093902111,TDEC,0.12636913359165192,0.10489332675933838,0.1402083784341812,0.11857112497091293,350M
0.12276213988661766,TDEC,0.11840224266052246,0.10992158949375153,0.13546845316886902,0.12725627422332764,350M
0.12040426954627037,TDEC,0.1211388111114502,0.10409430414438248,0.13768866658210754,0.11869529634714127,350M
0.12298334017395973,TDEC,0.1245364174246788,0.10352297127246857,0.1411144882440567,0.12275948375463486,350M
0.12390239164233208,TDEC,0.12140927463769913,0.10740997642278671,0.1395915448665619,0.12719877064228058,350M
0.11736022308468819,TDEC,0.11886461824178696,0.1020604819059372,0.1285633146762848,0.1199524775147438,350M
0.12303273007273674,TDEC,0.12179098278284073,0.10736815631389618,0.1412191241979599,0.12175265699625015,350M
0.12494880706071854,TDEC,0.1285707950592041,0.10737372934818268,0.13957661390304565,0.12427408993244171,350M
0.12362993508577347,TDEC,0.12010382115840912,0.1147330030798912,0.13988225162029266,0.11980066448450089,350M
0.12836560793220997,TDEC,0.12721122801303864,0.11178042739629745,0.1393696367740631,0.13510113954544067,350M
0.1214270293712616,TDEC,0.11769749224185944,0.10462677478790283,0.1355491578578949,0.12783469259738922,350M
0.12074789218604565,TDEC,0.12403424829244614,0.10359098762273788,0.1338200867176056,0.12154624611139297,350M
0.11885124444961548,TDEC,0.12107209861278534,0.11048899590969086,0.1286425143480301,0.11520136892795563,350M
0.12272902950644493,TDEC,0.1220010295510292,0.10556010156869888,0.13696594536304474,0.1263890415430069,350M
0.11757297813892365,TDEC,0.11472833156585693,0.09551098197698593,0.13827146589756012,0.1217811331152916,350M
0.12773107551038265,TDEC,0.12965737283229828,0.1122339591383934,0.1437467783689499,0.12528619170188904,350M
0.12059551477432251,TDEC,0.11389696598052979,0.11040686070919037,0.13606353104114532,0.12201470136642456,350M
0.11895833536982536,CC,0.11409381777048111,0.10750044882297516,0.13032826781272888,0.1239108070731163,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.1214371956884861,CC,0.12289935350418091,0.11145784705877304,0.13663281500339508,0.11475876718759537,350M
0.12593788094818592,CC,0.12390102446079254,0.11223188787698746,0.14408111572265625,0.12353749573230743,350M
0.12303435057401657,CC,0.11813303083181381,0.11063915491104126,0.14243796467781067,0.12092725187540054,350M
0.1188130620867014,CC,0.11716480553150177,0.10069350153207779,0.13403823971748352,0.12335570156574249,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.12501627579331398,CC,0.1269603669643402,0.10912615060806274,0.14306655526161194,0.12091203033924103,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.11835533194243908,CC,0.12143772840499878,0.09906516224145889,0.13822251558303833,0.11469592154026031,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.1221254225820303,CC,0.1336250752210617,0.11635671555995941,0.127329021692276,0.11119087785482407,350M
0.12347079813480377,CC,0.12345664203166962,0.10869602113962173,0.1405552625656128,0.12117526680231094,350M
0.12318475730717182,CC,0.12237703800201416,0.10499663650989532,0.14498694241046906,0.12037841230630875,350M
0.11751747131347656,CC,0.11516616493463516,0.10712768882513046,0.1297789365053177,0.11799709498882294,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.12477954849600792,CC,0.12922997772693634,0.10551837831735611,0.1398763358592987,0.12449350208044052,350M
0.12034909054636955,CC,0.11029072850942612,0.10313817113637924,0.13879510760307312,0.12917235493659973,350M
0.1269627083092928,CC,0.12543974816799164,0.11157884448766708,0.13738447427749634,0.1334477663040161,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.12067637778818607,CC,0.12252195924520493,0.10631626844406128,0.13499373197555542,0.11887355148792267,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.1254901010543108,CC,0.1263175755739212,0.11519613116979599,0.1391870528459549,0.1212596446275711,350M
0.12412009947001934,CC,0.121759794652462,0.10872483253479004,0.14016324281692505,0.12583252787590027,350M
0.11741681396961212,CC,0.11872728914022446,0.10238387435674667,0.1286124587059021,0.11994363367557526,350M
0.12026792205870152,CC,0.12114081531763077,0.09866602718830109,0.14211110770702362,0.11915373802185059,350M
0.1200573593378067,CC,0.11471686512231827,0.1024872437119484,0.1347046047449112,0.12832072377204895,350M
