corpora,index,epoch,average,model,ai2_arc_ARC-Challenge/acc,ai2_arc_ARC-Easy/acc,hellaswag/acc,math_qa/acc,piqa/acc,pubmed_qa/acc,super_glue_copa/acc,winogrande_winogrande_s/acc
TDEC,38,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,73,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,31,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,84,4,0.4606461878865957,350M,0.2101694941520691,0.45625001192092896,0.3843750059604645,0.20000000298023224,0.6625000238418579,0.528124988079071,0.699999988079071,0.543749988079071
TDEC,40,4,0.4617849588394165,350M,0.20677965879440308,0.453125,0.3843750059604645,0.19687500596046448,0.6625000238418579,0.546875,0.699999988079071,0.543749988079071
TDEC,4,3,0.45934189297258854,350M,0.19661016762256622,0.44999998807907104,0.38749998807907104,0.203125,0.6656249761581421,0.5218750238418579,0.699999988079071,0.550000011920929
TDEC,10,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,48,3,0.4582031238824129,350M,0.20000000298023224,0.44999998807907104,0.37812501192092896,0.203125,0.65625,0.5406249761581421,0.699999988079071,0.5375000238418579
TDEC,76,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,88,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,23,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,45,4,0.4575211890041828,350M,0.2101694941520691,0.4468750059604645,0.3843750059604645,0.19687500596046448,0.659375011920929,0.5249999761581421,0.699999988079071,0.5375000238418579
TDEC,78,4,0.4614274352788925,350M,0.2101694941520691,0.4625000059604645,0.3968749940395355,0.21875,0.6468750238418579,0.512499988079071,0.699999988079071,0.543749988079071
TDEC,27,3,0.46302303671836853,350M,0.2135593146085739,0.453125,0.37812501192092896,0.20000000298023224,0.6499999761581421,0.546875,0.699999988079071,0.5625
TDEC,74,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,18,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,37,4,0.4590055588632822,350M,0.2101694941520691,0.44999998807907104,0.375,0.20000000298023224,0.6656249761581421,0.543749988079071,0.6899999976158142,0.5375000238418579
TDEC,54,4,0.4576231427490711,350M,0.19661016762256622,0.4375,0.37187498807907104,0.20000000298023224,0.671875,0.559374988079071,0.6800000071525574,0.543749988079071
TDEC,97,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,7,3,0.4577224552631378,350M,0.20677965879440308,0.45625001192092896,0.3656249940395355,0.19687500596046448,0.6812499761581421,0.5406249761581421,0.6800000071525574,0.534375011920929
TDEC,59,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,46,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,94,3,0.4590055663138628,350M,0.2101694941520691,0.4593749940395355,0.3843750059604645,0.20000000298023224,0.6625000238418579,0.5218750238418579,0.6899999976158142,0.543749988079071
TDEC,0,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,75,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,2,4,0.45846795104444027,350M,0.22711864113807678,0.4375,0.38749998807907104,0.20000000298023224,0.671875,0.515625,0.699999988079071,0.528124988079071
TDEC,79,3,0.4578005876392126,350M,0.20677965879440308,0.45625001192092896,0.37187498807907104,0.19062499701976776,0.675000011920929,0.534375011920929,0.6899999976158142,0.5375000238418579
TDEC,33,3,0.4603005815297365,350M,0.20677965879440308,0.45625001192092896,0.375,0.20000000298023224,0.6656249761581421,0.534375011920929,0.7099999785423279,0.534375011920929
TDEC,3,4,0.4614274352788925,350M,0.2101694941520691,0.4593749940395355,0.37812501192092896,0.19374999403953552,0.65625,0.559374988079071,0.699999988079071,0.534375011920929
TDEC,36,4,0.45825741440057755,350M,0.2135593146085739,0.453125,0.3687500059604645,0.19062499701976776,0.65625,0.5406249761581421,0.6899999976158142,0.5531250238418579
TDEC,55,3,0.4585937447845936,350M,0.20000000298023224,0.4593749940395355,0.375,0.20624999701976776,0.65625,0.543749988079071,0.699999988079071,0.528124988079071
TDEC,66,3,0.45811308175325394,350M,0.20677965879440308,0.44999998807907104,0.37812501192092896,0.203125,0.659375011920929,0.546875,0.6800000071525574,0.5406249761581421
TDEC,13,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,19,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,39,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,89,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,83,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,41,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,51,3,0.45815810561180115,350M,0.20338982343673706,0.45625001192092896,0.3687500059604645,0.19687500596046448,0.659375011920929,0.550000011920929,0.6899999976158142,0.5406249761581421
TDEC,16,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,21,4,0.4578456021845341,350M,0.20338982343673706,0.4375,0.3843750059604645,0.1875,0.671875,0.512499988079071,0.699999988079071,0.565625011920929
TDEC,53,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,49,3,0.45787870325148106,350M,0.20677965879440308,0.45625001192092896,0.37812501192092896,0.20000000298023224,0.668749988079071,0.5093749761581421,0.699999988079071,0.543749988079071
TDEC,14,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,8,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,63,3,0.4633474536240101,350M,0.20677965879440308,0.4625000059604645,0.3812499940395355,0.20937499403953552,0.6781250238418579,0.528124988079071,0.699999988079071,0.5406249761581421
TDEC,1,3,0.46218750067055225,350M,0.20000000298023224,0.453125,0.3843750059604645,0.20937499403953552,0.659375011920929,0.546875,0.7099999785423279,0.534375011920929
TDEC,60,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,17,4,0.46097059920430183,350M,0.20338982343673706,0.44062501192092896,0.37812501192092896,0.20937499403953552,0.65625,0.559374988079071,0.699999988079071,0.5406249761581421
TDEC,95,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,87,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,64,3,0.46195048093795776,350M,0.22372882068157196,0.45625001192092896,0.37812501192092896,0.20000000298023224,0.65625,0.5375000238418579,0.699999988079071,0.543749988079071
TDEC,77,5,0.45781249552965164,350M,0.20000000298023224,0.453125,0.3812499940395355,0.20000000298023224,0.668749988079071,0.515625,0.699999988079071,0.543749988079071
TDEC,67,0,0.45721133425831795,350M,0.18644067645072937,0.45625001192092896,0.359375,0.21875,0.675000011920929,0.5406249761581421,0.6899999976158142,0.53125
TDEC,56,3,0.4588281325995922,350M,0.20000000298023224,0.45625001192092896,0.37187498807907104,0.20000000298023224,0.6625000238418579,0.5531250238418579,0.6800000071525574,0.546875
